арбалет
аристократия
баллиста
барон
баронесса
баронет
бастион
"башня, цитадель, крепость"
благородный
боевой топор
великий князь
виконт
вождь
высочество (титул)
геральдика
герцог
герцогиня
главная башня
гном
гоблин
"гоблин, гном"
граф
граф
графиня
дворец
"дворец, замок"
"дворянство, родовая знать"
дева
династия
"доспехи, латы"
драгоценности из королевской казны
дракон
единорог
"замок, дворец, твердыня"
"империя, царство"
"имперский, императорский"
катапульта
кольчуга
кольчуга
"копье, пика"
королева
королевская власть
"королевский, царский"
"королевство, государство"
король
корона
"крепостной, раб"
крепость
леди
"лорд, господин"
лук (оружие)
"лучник, стрелок из лука"
маркиз
"меч, рапира"
монарх
"монарх, повелитель"
навесные стены
орк
орудийная башня
осада
Пиль-башня
подъемный мост
поместье
помещичий дом
право первородства
Придворный шут
принц
принцесса
ров
"рыцарский поединок, турнир"
рыцарство
рыцарь
скипетр
"служанка, горничная"
средневековье
сторожевая башня
сторожка у ворот
стрела
стрельба из лука
таран
темница
"титул, звание"
"укрепление, вал"
феодальный
форт
фрейлина
хоббит
"царить, господствовать"
"царство, королевство"
честь
шут
щит
эльф
"эпоха Возрождения, Ренессанс"
ятаган
